metric,mem_percent,k,f1_macro_val,precision_macro_val,recall_macro_val,n_mem
euclidean,0.05,1,0.6840246564787467,0.6991776315789473,0.6725588720563972,164
euclidean,0.05,3,0.6406310594041953,0.6778212654924983,0.6226638668066596,164
euclidean,0.05,5,0.6206190454575258,0.7163986499900734,0.5980950952452377,164
euclidean,0.05,7,0.587279843444227,0.7177295341474446,0.572206389680516,164
euclidean,0.05,9,0.5640219952867243,0.7775256222547584,0.5568621568921555,164
euclidean,0.05,11,0.551911274608002,0.8014919941775838,0.5497075146242688,164
euclidean,0.05,13,0.5379588293650794,0.8099777034559643,0.5417054147292635,164
euclidean,0.05,15,0.49967026437614676,0.8391917742706839,0.5212764361781911,164
euclidean,0.05,17,0.4738305265971665,0.7540476190476191,0.5080020998950052,164
euclidean,0.05,19,0.4654282765737874,0.9202279202279202,0.504424778761062,164
euclidean,0.05,21,0.4563031709203403,0.41963015647226176,0.5,164
euclidean,0.05,23,0.4563031709203403,0.41963015647226176,0.5,164
euclidean,0.05,25,0.4563031709203403,0.41963015647226176,0.5,164
euclidean,0.05,27,0.4563031709203403,0.41963015647226176,0.5,164
euclidean,0.05,29,0.4563031709203403,0.41963015647226176,0.5,164
euclidean,0.05,31,0.4563031709203403,0.41963015647226176,0.5,164
euclidean,0.05,33,0.4563031709203403,0.41963015647226176,0.5,164
euclidean,0.05,35,0.4563031709203403,0.41963015647226176,0.5,164
euclidean,0.05,37,0.4563031709203403,0.41963015647226176,0.5,164
euclidean,0.05,39,0.4563031709203403,0.41963015647226176,0.5,164
euclidean,0.05,41,0.4563031709203403,0.41963015647226176,0.5,164
euclidean,0.05,43,0.4563031709203403,0.41963015647226176,0.5,164
euclidean,0.05,45,0.4563031709203403,0.41963015647226176,0.5,164
euclidean,0.05,47,0.4563031709203403,0.41963015647226176,0.5,164
euclidean,0.05,49,0.4563031709203403,0.41963015647226176,0.5,164
euclidean,0.05,51,0.4563031709203403,0.41963015647226176,0.5,164
manhattan,0.05,1,0.6674333626961599,0.6853856927386339,0.6548597570121494,164
manhattan,0.05,3,0.6591790562378798,0.7081790335116354,0.6365981700914954,164
manhattan,0.05,5,0.6148591622287263,0.693384379785605,0.5947052647367631,164
manhattan,0.05,7,0.5631723698216379,0.6627978545678361,0.5555422228888556,164
manhattan,0.05,9,0.5741439217299867,0.7484660766961653,0.5631693415329233,164
manhattan,0.05,11,0.5677236556546901,0.8396072714800206,0.5594045297735113,164
manhattan,0.05,13,0.5214551131928181,0.7573564881813797,0.532008399580021,164
manhattan,0.05,15,0.5144320032444284,0.7735209235209235,0.5284310784460777,164
manhattan,0.05,17,0.4988983929497149,0.7795566502463054,0.5204289785510725,164
manhattan,0.05,19,0.4919071963292289,0.9220314735336195,0.5176991150442478,164
manhattan,0.05,21,0.47440137406122657,0.920827389443652,0.5088495575221239,164
manhattan,0.05,23,0.4919071963292289,0.9220314735336195,0.5176991150442478,164
manhattan,0.05,25,0.47440137406122657,0.920827389443652,0.5088495575221239,164
manhattan,0.05,27,0.4563031709203403,0.41963015647226176,0.5,164
manhattan,0.05,29,0.4563031709203403,0.41963015647226176,0.5,164
manhattan,0.05,31,0.4563031709203403,0.41963015647226176,0.5,164
manhattan,0.05,33,0.4563031709203403,0.41963015647226176,0.5,164
manhattan,0.05,35,0.4563031709203403,0.41963015647226176,0.5,164
manhattan,0.05,37,0.4563031709203403,0.41963015647226176,0.5,164
manhattan,0.05,39,0.4563031709203403,0.41963015647226176,0.5,164
manhattan,0.05,41,0.4563031709203403,0.41963015647226176,0.5,164
manhattan,0.05,43,0.4563031709203403,0.41963015647226176,0.5,164
manhattan,0.05,45,0.4563031709203403,0.41963015647226176,0.5,164
manhattan,0.05,47,0.4563031709203403,0.41963015647226176,0.5,164
manhattan,0.05,49,0.4563031709203403,0.41963015647226176,0.5,164
manhattan,0.05,51,0.4563031709203403,0.41963015647226176,0.5,164
minkowski,0.05,1,0.6840246564787467,0.6991776315789473,0.6725588720563972,164
minkowski,0.05,3,0.6406310594041953,0.6778212654924983,0.6226638668066596,164
minkowski,0.05,5,0.6206190454575258,0.7163986499900734,0.5980950952452377,164
minkowski,0.05,7,0.587279843444227,0.7177295341474446,0.572206389680516,164
minkowski,0.05,9,0.5640219952867243,0.7775256222547584,0.5568621568921555,164
minkowski,0.05,11,0.551911274608002,0.8014919941775838,0.5497075146242688,164
minkowski,0.05,13,0.5379588293650794,0.8099777034559643,0.5417054147292635,164
minkowski,0.05,15,0.49967026437614676,0.8391917742706839,0.5212764361781911,164
minkowski,0.05,17,0.4738305265971665,0.7540476190476191,0.5080020998950052,164
minkowski,0.05,19,0.4654282765737874,0.9202279202279202,0.504424778761062,164
minkowski,0.05,21,0.4563031709203403,0.41963015647226176,0.5,164
minkowski,0.05,23,0.4563031709203403,0.41963015647226176,0.5,164
minkowski,0.05,25,0.4563031709203403,0.41963015647226176,0.5,164
minkowski,0.05,27,0.4563031709203403,0.41963015647226176,0.5,164
minkowski,0.05,29,0.4563031709203403,0.41963015647226176,0.5,164
minkowski,0.05,31,0.4563031709203403,0.41963015647226176,0.5,164
minkowski,0.05,33,0.4563031709203403,0.41963015647226176,0.5,164
minkowski,0.05,35,0.4563031709203403,0.41963015647226176,0.5,164
minkowski,0.05,37,0.4563031709203403,0.41963015647226176,0.5,164
minkowski,0.05,39,0.4563031709203403,0.41963015647226176,0.5,164
minkowski,0.05,41,0.4563031709203403,0.41963015647226176,0.5,164
minkowski,0.05,43,0.4563031709203403,0.41963015647226176,0.5,164
minkowski,0.05,45,0.4563031709203403,0.41963015647226176,0.5,164
minkowski,0.05,47,0.4563031709203403,0.41963015647226176,0.5,164
minkowski,0.05,49,0.4563031709203403,0.41963015647226176,0.5,164
minkowski,0.05,51,0.4563031709203403,0.41963015647226176,0.5,164
cosine,0.05,1,0.6803142444960171,0.6894181112463406,0.6727463626818659,164
cosine,0.05,3,0.6729706581801898,0.7123205741626795,0.6517549122543873,164
cosine,0.05,5,0.6203507324928322,0.6987549621075424,0.5991300434978251,164
cosine,0.05,7,0.590870988237681,0.7080626353489922,0.5749362531873407,164
cosine,0.05,9,0.6131581264307097,0.787130376344086,0.589718014099295,164
cosine,0.05,11,0.5507716421509525,0.779326016120734,0.5488600569971501,164
cosine,0.05,13,0.5214551131928181,0.7573564881813797,0.532008399580021,164
cosine,0.05,15,0.49048990225460815,0.7551410808225729,0.5160041997900106,164
cosine,0.05,17,0.49967026437614676,0.8391917742706839,0.5212764361781911,164
cosine,0.05,19,0.4919071963292289,0.9220314735336195,0.5176991150442478,164
cosine,0.05,21,0.4654282765737874,0.9202279202279202,0.504424778761062,164
cosine,0.05,23,0.4563031709203403,0.41963015647226176,0.5,164
cosine,0.05,25,0.4563031709203403,0.41963015647226176,0.5,164
cosine,0.05,27,0.4563031709203403,0.41963015647226176,0.5,164
cosine,0.05,29,0.4563031709203403,0.41963015647226176,0.5,164
cosine,0.05,31,0.4563031709203403,0.41963015647226176,0.5,164
